respondent_id,age_group,gender,region,satisfaction_Q1,satisfaction_Q2,satisfaction_Q3,satisfaction_Q4,likelihood_recommend,usage_frequency
1,46-55,F,North,5,3,1,2,3,Weekly
2,55+,M,West,4,5,1,5,0,Weekly
3,55+,M,West,2,2,2,1,4,Rarely
4,46-55,F,West,4,3,2,2,8,Daily
5,46-55,F,North,4,5,1,1,6,Weekly
6,18-25,M,North,1,3,2,1,0,Monthly
7,36-45,F,West,5,1,4,2,5,Daily
8,55+,F,North,4,1,4,1,5,Weekly
9,26-35,F,East,3,1,1,4,4,Rarely
10,36-45,F,West,1,5,5,1,7,Monthly
11,26-35,M,West,2,4,1,5,5,Monthly
12,26-35,F,West,4,2,1,3,6,Monthly
13,18-25,F,East,4,4,3,4,3,Monthly
14,26-35,F,South,4,2,3,5,5,Daily
15,55+,M,West,5,2,1,1,2,Daily
16,18-25,M,West,2,2,1,4,2,Daily
17,46-55,Other,North,2,5,4,3,6,Weekly
18,36-45,F,South,1,4,2,3,1,Weekly
19,26-35,M,North,5,1,3,2,8,Daily
20,18-25,F,North,4,3,2,4,8,Weekly
21,18-25,F,West,1,1,1,5,4,Daily
22,36-45,F,South,3,2,3,4,7,Monthly
23,55+,M,South,5,3,2,4,8,Daily
24,36-45,M,North,2,5,5,3,1,Rarely
25,55+,M,West,3,1,3,3,9,Rarely
26,18-25,F,South,1,5,4,1,9,Weekly
27,36-45,F,East,1,3,1,5,10,Rarely
28,26-35,M,North,3,5,3,3,9,Rarely
29,46-55,F,South,3,2,1,5,0,Daily
30,36-45,M,North,3,3,4,3,1,Monthly
31,26-35,F,West,1,4,2,1,1,Weekly
32,18-25,M,East,4,1,1,3,2,Daily
33,46-55,M,North,5,1,5,4,9,Weekly
34,18-25,M,East,1,3,2,5,0,Daily
35,18-25,M,North,4,2,1,1,3,Monthly
36,46-55,M,North,3,3,1,1,5,Daily
37,36-45,F,West,3,4,4,4,5,Daily
38,46-55,M,East,5,4,3,5,3,Daily
39,26-35,F,North,2,1,1,2,1,Weekly
40,26-35,M,West,5,4,4,1,8,Rarely
41,26-35,M,North,3,1,2,1,10,Daily
42,36-45,F,South,4,3,5,2,0,Weekly
43,18-25,M,East,3,2,3,2,9,Weekly
44,36-45,F,South,2,5,4,2,4,Monthly
45,26-35,M,East,1,3,2,1,0,Daily
46,26-35,F,North,2,4,2,2,6,Rarely
47,18-25,M,North,1,5,4,3,5,Daily
48,55+,M,North,2,1,4,2,8,Weekly
49,36-45,M,East,5,1,1,3,8,Weekly
50,55+,M,East,3,2,3,2,1,Monthly
51,55+,F,North,3,3,1,3,8,Rarely
52,26-35,Other,East,4,5,2,4,6,Weekly
53,55+,M,East,5,4,1,4,8,Weekly
54,55+,M,West,5,2,2,4,0,Daily
55,18-25,M,East,4,3,1,1,5,Rarely
56,55+,F,South,3,1,4,4,7,Weekly
57,18-25,F,North,4,5,3,3,0,Rarely
58,55+,M,North,2,3,4,3,10,Monthly
59,46-55,F,South,4,3,4,2,4,Weekly
60,55+,F,West,4,5,1,3,6,Monthly
61,26-35,M,North,5,2,4,5,4,Daily
62,46-55,M,West,1,5,3,5,5,Daily
63,18-25,F,South,2,3,1,3,8,Rarely
64,36-45,F,East,2,2,3,4,8,Rarely
65,36-45,F,North,1,3,2,5,6,Daily
66,46-55,F,South,3,5,4,2,1,Monthly
67,36-45,M,West,1,1,2,2,10,Daily
68,26-35,F,East,2,1,1,4,10,Rarely
69,46-55,M,East,4,3,3,3,3,Monthly
70,46-55,M,North,2,2,2,2,9,Rarely
71,46-55,F,South,1,5,4,1,2,Rarely
72,36-45,M,South,1,1,3,2,10,Rarely
73,55+,F,South,3,3,1,5,3,Rarely
74,46-55,M,South,1,1,5,1,8,Monthly
75,55+,M,West,5,4,2,5,5,Weekly
76,36-45,M,West,3,5,5,2,3,Monthly
77,55+,F,South,2,5,5,3,2,Daily
78,26-35,F,North,3,4,3,2,10,Monthly
79,26-35,F,East,1,4,4,1,1,Rarely
80,26-35,F,East,5,1,5,2,0,Daily
81,36-45,M,East,3,4,4,2,6,Monthly
82,36-45,F,South,4,2,1,5,2,Rarely
83,46-55,F,North,1,2,5,4,7,Daily
84,18-25,F,East,4,3,3,5,2,Rarely
85,46-55,F,North,1,2,4,4,9,Daily
86,36-45,F,West,5,2,3,5,7,Rarely
87,26-35,F,North,3,2,5,5,5,Monthly
88,46-55,F,North,5,3,3,4,1,Rarely
89,55+,M,North,1,2,2,2,7,Rarely
90,36-45,M,West,3,4,5,1,7,Weekly
91,46-55,M,West,2,2,2,4,0,Weekly
92,18-25,M,South,2,4,4,4,1,Monthly
93,18-25,M,North,3,1,2,3,3,Monthly
94,26-35,M,East,3,1,4,1,7,Rarely
95,26-35,F,West,5,3,2,1,8,Weekly
96,18-25,M,West,5,5,3,3,3,Rarely
97,36-45,F,North,2,4,5,2,5,Weekly
98,55+,F,East,4,5,2,1,6,Weekly
99,26-35,M,South,4,1,2,2,5,Monthly
100,36-45,F,East,4,1,4,3,1,Weekly
